"Portion_code","Portion_description","Start_date","End_date"
21003,"1 tablespoon, mashed",2017-01-01,2018-12-31
21004,"1 tablespoon, packed",2017-01-01,2018-12-31
21005,"1 tablespoon, whipped",2017-01-01,2018-12-31
21006,"1 tablespoon (9.3 g)",2017-01-01,2018-12-31
21007,"1 tablespoon Best O'butter",2017-01-01,2018-12-31
21008,"1 tablespoon Butter Buds",2017-01-01,2018-12-31
21009,"1 tablespoon Joe Weider's",2017-01-01,2018-12-31
21010,"1 tablespoon Molly McButter",2017-01-01,2018-12-31
21011,"1 tablespoon, cold",2017-01-01,2018-12-31
21012,"1 tablespoon, crumbs",2017-01-01,2018-12-31
21013,"1 tablespoon, cubes",2017-01-01,2018-12-31
21014,"1 tablespoon, hot",2017-01-01,2018-12-31
21015,"1 tablespoon, long grain",2017-01-01,2018-12-31
21016,"1 tablespoon, long grain, cold",2017-01-01,2018-12-31
21017,"1 tablespoon, long grain, hot",2017-01-01,2018-12-31
21018,"1 tablespoon, not packed",2017-01-01,2018-12-31
21019,"1 tablespoon, short grain",2017-01-01,2018-12-31
21020,"1 tablespoon, sifted, spooned",2017-01-01,2018-12-31
21021,"1 tablespoon, spooned into cup",2017-01-01,2018-12-31
21022,"1 tablespoon, unsifted, dipped",2017-01-01,2018-12-31
21023,"1 tablespoon, unsifted, spooned",2017-01-01,2018-12-31
21024,"1 tablespoon, unsifted",2017-01-01,2018-12-31
21025,"1 tablespoon, chopped",2017-01-01,2018-12-31
22000,"1 teaspoon",2017-01-01,2018-12-31
22001,"1 teaspoon, NFS",2017-01-01,2018-12-31
22002,"1 teaspoon, brownulated",2017-01-01,2018-12-31
22003,"1 teaspoon, dry",2017-01-01,2018-12-31
22004,"1 teaspoon, packed",2017-01-01,2018-12-31
22005,"1 teaspoon, unpacked",2017-01-01,2018-12-31
22006,"1 teaspoon, rounded",2017-01-01,2018-12-31
22007,"1 teaspoon, chopped",2017-01-01,2018-12-31
30000,"1 fl oz",2017-01-01,2018-12-31
30001,"1 fl oz (no ice)",2017-01-01,2018-12-31
30002,"1 fl oz (2 tablespoons)",2017-01-01,2018-12-31
30003,"1 fl oz (prepared)",2017-01-01,2018-12-31
30004,"1 fl oz, Smoothie",2017-01-01,2018-12-31
30005,"1 fl oz, juice",2017-01-01,2018-12-31
30006,"1 fl oz Edensoy",2017-01-01,2018-12-31
30008,"1 fl oz (NFS)",2017-01-01,2018-12-31
30009,"1 fl oz (with ice)",2017-01-01,2018-12-31
40000,"1 oz",2017-01-01,2018-12-31
40001,"1 oz (11 whole kernels)",2017-01-01,2018-12-31
40002,"1 oz (14 halves)",2017-01-01,2018-12-31
40003,"1 oz (14 kernels)",2017-01-01,2018-12-31
40004,"1 oz, hulled (142 seeds)",2017-01-01,2018-12-31
40005,"1 oz (18 kernels)",2017-01-01,2018-12-31
40006,"1 oz (18 puffs)",2017-01-01,2018-12-31
40007,"1 oz (20 halves)",2017-01-01,2018-12-31
40008,"1 oz (20 nuts)",2017-01-01,2018-12-31
40009,"1 oz (22 whole kernels)",2017-01-01,2018-12-31
40010,"1 oz (28 nuts)",2017-01-01,2018-12-31
40011,"1 oz (3 kernels)",2017-01-01,2018-12-31
40012,"1 oz (35 nuts)",2017-01-01,2018-12-31
40013,"1 oz (8 halves)",2017-01-01,2018-12-31
40014,"1 oz dry, yield after cooking",2017-01-01,2018-12-31
40015,"1 oz packet with 6 fl oz water",2017-01-01,2018-12-31
40016,"1 oz yields",2017-01-01,2018-12-31
40017,"1 oz, boneless",2017-01-01,2018-12-31
40018,"1 oz, boneless, cooked",2017-01-01,2018-12-31
40019,"1 oz, boneless, cooked (yield after coating removed)",2017-01-01,2018-12-31
40020,"1 oz, boneless, cooked (yield after fat removed)",2017-01-01,2018-12-31
40021,"1 oz, boneless, cooked (yield after skin removed)",2017-01-01,2018-12-31
40022,"1 oz, boneless, cooked (yield after skin/coating removed)",2017-01-01,2018-12-31
40023,"1 oz, boneless, cooked, lean only",2017-01-01,2018-12-31
40024,"1 oz, boneless, cooked, skinless",2017-01-01,2018-12-31
40026,"1 oz, boneless, dried",2017-01-01,2018-12-31
40027,"1 oz, boneless, raw",2017-01-01,2018-12-31
40028,"1 oz, boneless, raw (yield after coating removed)",2017-01-01,2018-12-31
40029,"1 oz, boneless, raw (yield after cooking)",2017-01-01,2018-12-31
40030,"1 oz, boneless, raw (yield after cooking, coating removed)",2017-01-01,2018-12-31
40031,"1 oz, boneless, raw (yield after cooking, fat removed)",2017-01-01,2018-12-31
40032,"1 oz, boneless, raw (yield after cooking, skin removed)",2017-01-01,2018-12-31
40033,"1 oz, boneless, raw (yield after cooking, skin/coating removed)",2017-01-01,2018-12-31
40034,"1 oz, boneless, raw without skin (yield after cooking)",2017-01-01,2018-12-31
40035,"1 oz, boneless, raw, breaded (yield after cooking)",2017-01-01,2018-12-31
40036,"1 oz, boneless, raw, breaded (yield after cooking, fat removed)",2017-01-01,2018-12-31
40037,"1 oz, boneless, raw, lean only (yield after cooking)",2017-01-01,2018-12-31
40038,"1 oz, boneless, raw, without skin (yield after cooking)",2017-01-01,2018-12-31
40039,"1 oz, common, yields",2017-01-01,2018-12-31
40040,"1 oz, cooked",2017-01-01,2018-12-31
40041,"1 oz, cooked (yield after fat removed)",2017-01-01,2018-12-31
40042,"1 oz, cooked, lean only",2017-01-01,2018-12-31
40043,"1 oz, drained",2017-01-01,2018-12-31
40044,"1 oz, dried, soaked in water",2017-01-01,2018-12-31
40045,"1 oz, dried, soaked, drained, and cooked",2017-01-01,2018-12-31
40046,"1 oz, dried, yield after cooking",2017-01-01,2018-12-31
40047,"1 oz, dry mix, prepared",2017-01-01,2018-12-31
40048,"1 oz, dry, yield after cooking",2017-01-01,2018-12-31
40049,"1 oz, dry, yields",2017-01-01,2018-12-31
40050,"1 oz, ears, raw (yield after cooking)",2017-01-01,2018-12-31
40051,"1 oz, in shell, yields",2017-01-01,2018-12-31
40052,"1 oz, processed (yield after cooking) (3"" x 2"" x 1/5"")",2017-01-01,2018-12-31
40053,"1 oz, raw",2017-01-01,2018-12-31
40054,"1 oz, raw (yield after cooking)",2017-01-01,2018-12-31
40055,"1 oz, raw (yield after cooking, bone removed)",2017-01-01,2018-12-31
40056,"1 oz, raw (yield after cooking, fat removed)",2017-01-01,2018-12-31
40057,"1 oz, raw, lean only (yield after cooking)",2017-01-01,2018-12-31
40058,"1 oz, raw, peeled (yield after cooking)",2017-01-01,2018-12-31
40059,"1 oz, raw, with peel (yield after cooking, peel removed)",2017-01-01,2018-12-31
40060,"1 oz, raw, without shell, yield after cooking",2017-01-01,2018-12-31
40061,"1 oz, raw, yields",2017-01-01,2018-12-31
40062,"1 oz, seeded, yields",2017-01-01,2018-12-31
40063,"1 oz, shelled",2017-01-01,2018-12-31
40064,"1 oz, strawberry, yields",2017-01-01,2018-12-31
