"Food_code","Moisture_change","Start_date","End_date"
13250000,-6.4,2017-01-01,2018-12-31
13252200,0,2017-01-01,2018-12-31
13252500,-19,2017-01-01,2018-12-31
13252590,0,2017-01-01,2018-12-31
13252600,0,2017-01-01,2018-12-31
13310000,0,2017-01-01,2018-12-31
13311000,0,2017-01-01,2018-12-31
13312000,0,2017-01-01,2018-12-31
13411000,-10,2017-01-01,2018-12-31
14010000,0,2017-01-01,2018-12-31
14101010,0,2017-01-01,2018-12-31
14102010,0,2017-01-01,2018-12-31
14103010,0,2017-01-01,2018-12-31
14103020,0,2017-01-01,2018-12-31
14104100,0,2017-01-01,2018-12-31
14104110,0,2017-01-01,2018-12-31
14104115,0,2017-01-01,2018-12-31
14104200,0,2017-01-01,2018-12-31
14104250,0,2017-01-01,2018-12-31
14104400,0,2017-01-01,2018-12-31
14104600,0,2017-01-01,2018-12-31
14104700,0,2017-01-01,2018-12-31
14105010,0,2017-01-01,2018-12-31
14105200,0,2017-01-01,2018-12-31
14106010,0,2017-01-01,2018-12-31
14106200,0,2017-01-01,2018-12-31
14106500,0,2017-01-01,2018-12-31
14107010,0,2017-01-01,2018-12-31
14107030,0,2017-01-01,2018-12-31
14107040,0,2017-01-01,2018-12-31
14107060,0,2017-01-01,2018-12-31
14107200,0,2017-01-01,2018-12-31
14107250,0,2017-01-01,2018-12-31
14108010,0,2017-01-01,2018-12-31
14108015,0,2017-01-01,2018-12-31
14108020,0,2017-01-01,2018-12-31
14108060,0,2017-01-01,2018-12-31
14108200,0,2017-01-01,2018-12-31
14108400,0,2017-01-01,2018-12-31
14108420,0,2017-01-01,2018-12-31
14109010,0,2017-01-01,2018-12-31
14109020,0,2017-01-01,2018-12-31
14109030,0,2017-01-01,2018-12-31
14109040,0,2017-01-01,2018-12-31
14110010,0,2017-01-01,2018-12-31
14120010,0,2017-01-01,2018-12-31
14120020,0,2017-01-01,2018-12-31
14131000,0,2017-01-01,2018-12-31
14131500,0,2017-01-01,2018-12-31
14133000,0,2017-01-01,2018-12-31
14134000,0,2017-01-01,2018-12-31
14200100,0,2017-01-01,2018-12-31
14201010,0,2017-01-01,2018-12-31
14201200,0,2017-01-01,2018-12-31
14201500,0,2017-01-01,2018-12-31
14202010,0,2017-01-01,2018-12-31
14202020,0,2017-01-01,2018-12-31
14203010,0,2017-01-01,2018-12-31
14203020,0,2017-01-01,2018-12-31
14203510,0,2017-01-01,2018-12-31
14204010,0,2017-01-01,2018-12-31
14204020,0,2017-01-01,2018-12-31
14206010,0,2017-01-01,2018-12-31
14207010,0,2017-01-01,2018-12-31
14301010,0,2017-01-01,2018-12-31
14301100,0,2017-01-01,2018-12-31
14303010,0,2017-01-01,2018-12-31
14410100,0,2017-01-01,2018-12-31
14410110,0,2017-01-01,2018-12-31
14410120,0,2017-01-01,2018-12-31
14410130,0,2017-01-01,2018-12-31
14410210,0,2017-01-01,2018-12-31
14410330,0,2017-01-01,2018-12-31
14410380,0,2017-01-01,2018-12-31
14410500,0,2017-01-01,2018-12-31
14410600,0,2017-01-01,2018-12-31
14410620,0,2017-01-01,2018-12-31
14420100,0,2017-01-01,2018-12-31
14420160,0,2017-01-01,2018-12-31
14420200,0,2017-01-01,2018-12-31
14420210,0,2017-01-01,2018-12-31
14420300,0,2017-01-01,2018-12-31
14502000,0,2017-01-01,2018-12-31
14610200,0,2017-01-01,2018-12-31
14610210,-10.6,2017-01-01,2018-12-31
14610250,0,2017-01-01,2018-12-31
14610520,0,2017-01-01,2018-12-31
14620110,0,2017-01-01,2018-12-31
14620115,0,2017-01-01,2018-12-31
14620130,0,2017-01-01,2018-12-31
14620150,0,2017-01-01,2018-12-31
14620200,0,2017-01-01,2018-12-31
14620300,-20,2017-01-01,2018-12-31
14620310,-45,2017-01-01,2018-12-31
14620320,-20,2017-01-01,2018-12-31
14620330,-30,2017-01-01,2018-12-31
14630100,-5,2017-01-01,2018-12-31
14630200,-4,2017-01-01,2018-12-31
14630300,-10,2017-01-01,2018-12-31
14640000,0,2017-01-01,2018-12-31
14640002,0,2017-01-01,2018-12-31
14640004,0,2017-01-01,2018-12-31
14640006,0,2017-01-01,2018-12-31
14640008,0,2017-01-01,2018-12-31
14640010,0,2017-01-01,2018-12-31
14640012,0,2017-01-01,2018-12-31
14640014,0,2017-01-01,2018-12-31
14640016,0,2017-01-01,2018-12-31
14640018,0,2017-01-01,2018-12-31
14640020,0,2017-01-01,2018-12-31
14640022,0,2017-01-01,2018-12-31
14640024,0,2017-01-01,2018-12-31
14640026,0,2017-01-01,2018-12-31
14640028,0,2017-01-01,2018-12-31
14640030,0,2017-01-01,2018-12-31
14640032,0,2017-01-01,2018-12-31
14640034,0,2017-01-01,2018-12-31
14640036,0,2017-01-01,2018-12-31
14640038,0,2017-01-01,2018-12-31
14640040,0,2017-01-01,2018-12-31
14640042,0,2017-01-01,2018-12-31
14640044,0,2017-01-01,2018-12-31
14640046,0,2017-01-01,2018-12-31
14640048,0,2017-01-01,2018-12-31
14640050,0,2017-01-01,2018-12-31
14640052,0,2017-01-01,2018-12-31
14640054,0,2017-01-01,2018-12-31
14640056,0,2017-01-01,2018-12-31
14640058,0,2017-01-01,2018-12-31
14640060,0,2017-01-01,2018-12-31
14640062,0,2017-01-01,2018-12-31
14640064,0,2017-01-01,2018-12-31
14640066,0,2017-01-01,2018-12-31
14640068,0,2017-01-01,2018-12-31
14640070,0,2017-01-01,2018-12-31
14640072,0,2017-01-01,2018-12-31
14640100,0,2017-01-01,2018-12-31
14640105,0,2017-01-01,2018-12-31
14640110,0,2017-01-01,2018-12-31
14640115,0,2017-01-01,2018-12-31
14640125,0,2017-01-01,2018-12-31
14640130,0,2017-01-01,2018-12-31
14640135,0,2017-01-01,2018-12-31
14640155,0,2017-01-01,2018-12-31
14640160,0,2017-01-01,2018-12-31
14640165,0,2017-01-01,2018-12-31
14640185,0,2017-01-01,2018-12-31
14640190,0,2017-01-01,2018-12-31
14640195,0,2017-01-01,2018-12-31
14650100,0,2017-01-01,2018-12-31
14650160,0,2017-01-01,2018-12-31
14650165,0,2017-01-01,2018-12-31
14650170,0,2017-01-01,2018-12-31
14650175,0,2017-01-01,2018-12-31
14650180,0,2017-01-01,2018-12-31
14650185,0,2017-01-01,2018-12-31
14650190,0,2017-01-01,2018-12-31
14650195,0,2017-01-01,2018-12-31
14660200,0,2017-01-01,2018-12-31
14670000,0,2017-01-01,2018-12-31
14710100,0,2017-01-01,2018-12-31
14710200,0,2017-01-01,2018-12-31
2e+07,0,2017-01-01,2018-12-31
20000070,0,2017-01-01,2018-12-31
20000090,0,2017-01-01,2018-12-31
20000200,0,2017-01-01,2018-12-31
21000100,0,2017-01-01,2018-12-31
21000110,0,2017-01-01,2018-12-31
21000120,0,2017-01-01,2018-12-31
21001000,0,2017-01-01,2018-12-31
21001010,0,2017-01-01,2018-12-31
