"Food_code","Subcode","Seq_num","Portion_code","Portion_weight","Start_date","End_date"
11411400,0,3,60598,150,2017-01-01,2018-12-31
11411400,0,4,10205,245,2017-01-01,2018-12-31
11411400,0,6,90000,150,2017-01-01,2018-12-31
11411410,0,1,64562,150,2017-01-01,2018-12-31
11411410,0,2,60039,170,2017-01-01,2018-12-31
11411410,0,3,60598,150,2017-01-01,2018-12-31
11411410,0,4,10205,245,2017-01-01,2018-12-31
11411410,0,6,90000,150,2017-01-01,2018-12-31
11411420,0,1,64562,150,2017-01-01,2018-12-31
11411420,0,2,60039,170,2017-01-01,2018-12-31
11411420,0,3,60598,150,2017-01-01,2018-12-31
11411420,0,4,10205,245,2017-01-01,2018-12-31
11411420,0,6,90000,150,2017-01-01,2018-12-31
11430000,0,1,64638,113,2017-01-01,2018-12-31
11430000,0,2,60039,170,2017-01-01,2018-12-31
11430000,0,3,60598,170,2017-01-01,2018-12-31
11430000,0,4,10205,245,2017-01-01,2018-12-31
11430000,0,10,90000,170,2017-01-01,2018-12-31
11431000,0,1,64638,113,2017-01-01,2018-12-31
11431000,0,2,60039,170,2017-01-01,2018-12-31
11431000,0,3,60598,170,2017-01-01,2018-12-31
11431000,0,4,10205,245,2017-01-01,2018-12-31
11431000,0,8,90000,170,2017-01-01,2018-12-31
11432000,0,1,64066,64,2017-01-01,2018-12-31
11432000,0,2,64638,113,2017-01-01,2018-12-31
11432000,0,3,60039,170,2017-01-01,2018-12-31
11432000,0,4,60598,170,2017-01-01,2018-12-31
11432000,0,5,10205,245,2017-01-01,2018-12-31
11432000,0,12,90000,170,2017-01-01,2018-12-31
11433000,0,1,64638,113,2017-01-01,2018-12-31
11433000,0,2,60039,170,2017-01-01,2018-12-31
11433000,0,3,60598,170,2017-01-01,2018-12-31
11433000,0,4,10205,245,2017-01-01,2018-12-31
11433000,0,8,90000,170,2017-01-01,2018-12-31
11433990,0,1,64562,150,2017-01-01,2018-12-31
11433990,0,2,60039,170,2017-01-01,2018-12-31
11433990,0,3,60598,150,2017-01-01,2018-12-31
11433990,0,4,10205,245,2017-01-01,2018-12-31
11433990,0,5,90000,150,2017-01-01,2018-12-31
11434000,0,1,64562,150,2017-01-01,2018-12-31
11434000,0,2,60039,170,2017-01-01,2018-12-31
11434000,0,3,60598,150,2017-01-01,2018-12-31
11434000,0,4,10205,245,2017-01-01,2018-12-31
11434000,0,6,90000,150,2017-01-01,2018-12-31
11434010,0,1,64066,57,2017-01-01,2018-12-31
11434010,0,2,64562,150,2017-01-01,2018-12-31
11434010,0,3,60039,170,2017-01-01,2018-12-31
11434010,0,4,60598,150,2017-01-01,2018-12-31
11434010,0,5,10205,245,2017-01-01,2018-12-31
11434010,0,7,90000,150,2017-01-01,2018-12-31
11434020,0,1,64562,150,2017-01-01,2018-12-31
11434020,0,2,60039,170,2017-01-01,2018-12-31
11434020,0,3,60598,150,2017-01-01,2018-12-31
11434020,0,4,10205,245,2017-01-01,2018-12-31
11434020,0,6,90000,150,2017-01-01,2018-12-31
11434090,0,1,64638,113,2017-01-01,2018-12-31
11434090,0,2,60039,170,2017-01-01,2018-12-31
11434090,0,3,60598,170,2017-01-01,2018-12-31
11434090,0,4,10205,245,2017-01-01,2018-12-31
11434090,0,5,90000,170,2017-01-01,2018-12-31
11434100,0,1,64638,113,2017-01-01,2018-12-31
11434100,0,2,60039,170,2017-01-01,2018-12-31
11434100,0,3,60598,170,2017-01-01,2018-12-31
11434100,0,4,10205,245,2017-01-01,2018-12-31
11434100,0,5,90000,170,2017-01-01,2018-12-31
11434200,0,1,64066,64,2017-01-01,2018-12-31
11434200,0,2,64638,113,2017-01-01,2018-12-31
11434200,0,3,60039,170,2017-01-01,2018-12-31
11434200,0,4,60598,170,2017-01-01,2018-12-31
11434200,0,5,10205,245,2017-01-01,2018-12-31
11434200,0,6,90000,170,2017-01-01,2018-12-31
11434300,0,1,64638,113,2017-01-01,2018-12-31
11434300,0,2,60039,170,2017-01-01,2018-12-31
11434300,0,3,60598,170,2017-01-01,2018-12-31
11434300,0,4,10205,245,2017-01-01,2018-12-31
11434300,0,5,90000,170,2017-01-01,2018-12-31
11435000,0,1,64562,150,2017-01-01,2018-12-31
11435000,0,2,60039,170,2017-01-01,2018-12-31
11435000,0,3,60598,150,2017-01-01,2018-12-31
11435000,0,4,10205,245,2017-01-01,2018-12-31
11435000,0,5,90000,150,2017-01-01,2018-12-31
11435010,0,1,64562,150,2017-01-01,2018-12-31
11435010,0,2,60039,170,2017-01-01,2018-12-31
11435010,0,3,60598,150,2017-01-01,2018-12-31
11435010,0,4,10205,245,2017-01-01,2018-12-31
11435010,0,5,90000,150,2017-01-01,2018-12-31
11435020,0,1,64066,57,2017-01-01,2018-12-31
11435020,0,2,64562,150,2017-01-01,2018-12-31
11435020,0,3,60039,170,2017-01-01,2018-12-31
11435020,0,4,60598,150,2017-01-01,2018-12-31
11435020,0,5,10205,245,2017-01-01,2018-12-31
11435020,0,6,90000,150,2017-01-01,2018-12-31
11435030,0,1,64562,150,2017-01-01,2018-12-31
11435030,0,2,60039,170,2017-01-01,2018-12-31
11435030,0,3,60598,150,2017-01-01,2018-12-31
11435030,0,4,10205,245,2017-01-01,2018-12-31
